Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
509,English Language & Literature,Bachelors,46400,78900,44
509,Urban Studies,Bachelors,51500,78900,57
512,Mass Communication,Bachelors,44800,78800,44
513,Forestry Management,Bachelors,48600,78700,71
513,Radio/Television & Film Production,Bachelors,45700,78700,39
515,Hospital Management,Bachelors,53200,78600,45
516,Human Resources Management (HRM),Bachelors,47900,78500,55
517,Marine Science,Bachelors,46100,78400,64
518,American Sign Language Interpreting,Bachelors,43100,78300,87
518,English & History,Bachelors,45700,78300,49
518,English Language,Bachelors,44600,78300,45
521,Cytotechnology,Bachelors,61900,78200,89
521,Geosciences,Bachelors,48700,78200,62
521,Hospital Administration,Bachelors,51200,78200,57
524,Film Production,Bachelors,44600,78100,33
524,Marine Biology,Bachelors,43300,78100,66
526,Zoology,Bachelors,42100,77900,67
527,Communication Design,Bachelors,51700,77800,34
528,Leadership,Bachelors,47200,77500,57
528,Music Technology,Bachelors,44800,77500,39
528,Musicology,Bachelors,40000,77500,-
528,Technical Writing,Bachelors,53300,77500,42
532,Agricultural Communication,Bachelors,44600,77400,52
532,Logistics Management,Bachelors,56300,77400,49
534,German Language & Literature,Bachelors,49400,77300,47
535,Administration,Bachelors,44600,77100,58
535,Apparel Merchandising,Bachelors,47600,77100,35
535,Computer Aided Drafting & Design (CADD),Bachelors,49100,77100,52
535,Organizational Leadership & Supervision,Bachelors,49600,77100,51
535,Printing Technology,Bachelors,46200,77100,-
535,Spanish Language,Bachelors,47700,77100,51
541,Multimedia,Bachelors,44700,77000,45
542,Spanish Language Teacher Education,Bachelors,45500,76900,73
542,Public Administration,Bachelors,46700,76900,57
542,Human Nutrition,Bachelors,48600,76900,85
545,Audio Engineering,Bachelors,48300,76800,39
545,Graphics Technology & Management,Bachelors,39500,76800,38
545,Physical Anthropology,Bachelors,52900,76800,51
548,Organizational Leadership,Bachelors,50500,76700,58
549,Environmental Health Science,Bachelors,53800,76600,61
549,Health Sciences,Bachelors,44600,76600,70
551,Journalism & Electronic Media,Bachelors,45200,76500,48
552,Religious Studies,Bachelors,43900,76300,55
553,Art History,Bachelors,46600,76200,45
553,Radiologic Science,Bachelors,57600,76200,81
555,3D Animation,Bachelors,51800,76000,42
556,Culture Studies,Bachelors,48100,75900,40
556,Merchandising,Bachelors,53100,75900,31
558,Administrative Management,Bachelors,52700,75800,50
558,Human Resources (HR),Bachelors,47300,75800,56
558,Liberal Arts,Bachelors,44500,75800,53
561,Adult Education & Training,Bachelors,48700,75600,79
